_id,_labels,blocksInheritance,displayname,domain,domainAdmin,enabled,hasspn,highvalue,lastlogon,louvainCommunityId,name,objectid,operatingsystem,owned,pageRank,pwdlastset,_start,_end,_type
10,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00509.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1508,Windows 7,false,0.15000000000000002,,,,
11,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00510.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1509,Windows 10,false,0.15000000000000002,,,,
12,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00511.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1510,Windows 10,false,0.15000000000000002,,,,
13,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00512.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1511,Windows 7,false,0.15000000000000002,,,,
14,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00513.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1512,Windows 7,false,0.15000000000000002,,,,
15,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00514.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1513,Windows 10,false,0.15000000000000002,,,,
16,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00515.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1514,Windows 10,false,0.15000000000000002,,,,
17,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00516.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1515,Windows Server 2008,false,0.27750000506639483,,,,
18,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00517.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1516,Windows Server 2012,false,0.27750000506639483,,,,
19,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00518.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1517,Windows 7,false,0.15000000000000002,,,,
20,:Group,,,TESTLAB.LOCAL,,,,,,,DOMAIN COMPUTERS@TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-515,,,,,,,
21,:Group,,,TESTLAB.LOCAL,,,,,,,DOMAIN USERS@TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-513,,,,,,,
22,:Group,,,TESTLAB.LOCAL,,,,true,,,DOMAIN CONTROLLERS@TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-516,,,,,,,
23,:Group,,,TESTLAB.LOCAL,,,,true,,,ENTERPRISE DOMAIN CONTROLLERS@TESTLAB.LOCAL,TESTLAB.LOCAL-S-1-5-9,,,,,,,
24,:Group,,,TESTLAB.LOCAL,,,,,,,ENTERPRISE READ-ONLY DOMAIN CONTROLLERS@TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-498,,,,,,,
25,:Group,,,TESTLAB.LOCAL,,,,true,,,ADMINISTRATORS@TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-544,,,,,,,
26,:Group,,,TESTLAB.LOCAL,,,,true,,,ENTERPRISE ADMINS@TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-519,,,,,,,
27,:Domain,,,TESTLAB.LOCAL,,,,true,,,TESTLAB.LOCAL,,,,,,,,
28,:GPO,,,TESTLAB.LOCAL,,,,,,,DEFAULT DOMAIN CONTROLLERS POLICY@TESTLAB.LOCAL,cafdef1b-7a09-4335-a9b5-f7d9b56e742d,,,,,,,
29,:OU,false,,TESTLAB.LOCAL,,,,,,,DOMAIN CONTROLLERS@TESTLAB.LOCAL,72baee77-fa56-4cee-bd1f-5c29c8711331,,,,,,,
30,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00001.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1000,Windows Server 2008,false,0.15000000000000002,,,,
31,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00002.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1001,Windows 7,false,0.15000000000000002,,,,
32,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00003.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1002,Windows Server 2008,false,0.15000000000000002,,,,
33,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00004.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1003,Windows 10,false,0.6054937563836574,,,,
34,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00005.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1004,Windows Server 2008,false,0.27750000506639483,,,,
35,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00006.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1005,Windows Server 2012,false,0.15000000000000002,,,,
36,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00007.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1006,Windows 10,false,0.27750000506639483,,,,
37,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00008.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1007,Windows Server 2012,false,0.15000000000000002,,,,
38,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00009.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1008,Windows 7,false,0.15000000000000002,,,,
39,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00010.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1009,Windows Server 2003,false,0.15000000000000002,,,,
40,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00011.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1010,Windows Server 2008,false,0.15000000000000002,,,,
41,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00012.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1011,Windows Server 2008,false,0.15000000000000002,,,,
42,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00013.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1012,Windows 7,false,0.15000000000000002,,,,
43,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00014.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1013,Windows 7,false,0.15000000000000002,,,,
44,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00015.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1014,Windows 10,false,0.15000000000000002,,,,
45,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00016.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1015,Windows Server 2008,false,0.15000000000000002,,,,
46,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00017.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1016,Windows Server 2008,false,0.15000000000000002,,,,
47,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00018.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1017,Windows 10,false,0.15000000000000002,,,,
48,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00019.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1018,Windows Server 2008,false,0.15000000000000002,,,,
49,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00020.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1019,Windows Server 2008,false,0.21375000253319743,,,,
50,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00021.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1020,Windows 10,false,0.15000000000000002,,,,
51,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00022.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1021,Windows 10,false,0.15000000000000002,,,,
52,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00023.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1022,Windows Server 2008,false,0.15000000000000002,,,,
53,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00024.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1023,Windows 7,false,0.15000000000000002,,,,
54,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00025.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1024,Windows 7,false,0.15000000000000002,,,,
55,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00026.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1025,Windows 7,false,0.15000000000000002,,,,
56,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00027.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1026,Windows 10,false,0.27750000506639483,,,,
57,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00028.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1027,Windows Server 2008,false,0.15000000000000002,,,,
58,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00029.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1028,Windows Server 2008,false,0.15000000000000002,,,,
59,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00030.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1029,Windows 7,false,0.15000000000000002,,,,
60,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00031.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1030,Windows 7,false,0.15000000000000002,,,,
61,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00032.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1031,Windows Server 2012,false,0.15000000000000002,,,,
62,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00033.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1032,Windows Server 2008,false,0.15000000000000002,,,,
63,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00034.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1033,Windows 7,false,0.15000000000000002,,,,
64,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00035.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1034,Windows 7,false,0.27750000506639483,,,,
65,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00036.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1035,Windows 7,false,0.15000000000000002,,,,
66,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00037.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1036,Windows Server 2008,false,0.15000000000000002,,,,
67,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00038.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1037,Windows 7,false,0.15000000000000002,,,,
68,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00039.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1038,Windows 7,false,0.15000000000000002,,,,
69,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00040.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1039,Windows 10,false,0.15000000000000002,,,,
70,:Computer:Target,,,TESTLAB.LOCAL,,true,,,,,COMP00041.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1040,Windows 10,false,0.15000000000000002,,,,
71,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00042.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1041,Windows 10,false,0.15000000000000002,,,,
72,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00043.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1042,Windows Server 2012,false,0.27750000506639483,,,,
73,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00044.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1043,Windows 10,false,0.15000000000000002,,,,
74,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00045.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1044,Windows Server 2008,false,0.15000000000000002,,,,
75,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00046.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1045,Windows 7,false,0.15000000000000002,,,,
76,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00047.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1046,Windows 10,false,0.15000000000000002,,,,
77,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00048.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1047,Windows 10,false,0.15000000000000002,,,,
78,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00049.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1048,Windows Server 2008,false,0.15000000000000002,,,,
79,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00050.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1049,Windows Server 2008,false,0.15000000000000002,,,,
80,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00051.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1050,Windows Server 2012,false,0.15000000000000002,,,,
81,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00052.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1051,Windows 10,false,0.15000000000000002,,,,
82,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00053.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1052,Windows 7,false,0.15000000000000002,,,,
83,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00054.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1053,Windows Server 2008,false,0.15000000000000002,,,,
84,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00055.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1054,Windows 10,false,0.15000000000000002,,,,
85,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00056.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1055,Windows 7,false,0.15000000000000002,,,,
86,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00057.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1056,Windows 7,false,0.27750000506639483,,,,
87,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00058.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1057,Windows 7,false,0.15000000000000002,,,,
88,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00059.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1058,Windows 7,false,0.15000000000000002,,,,
89,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00060.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1059,Windows 10,false,0.15000000000000002,,,,
90,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00061.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1060,Windows Server 2008,false,0.15000000000000002,,,,
91,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00062.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1061,Windows 10,false,0.15000000000000002,,,,
92,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00063.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1062,Windows 10,false,0.15000000000000002,,,,
93,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00064.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1063,Windows 7,false,0.15000000000000002,,,,
94,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00065.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1064,Windows 7,false,0.15000000000000002,,,,
95,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00066.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1065,Windows 7,false,0.15000000000000002,,,,
96,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00067.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1066,Windows 7,false,0.15000000000000002,,,,
97,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00068.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1067,Windows Server 2008,false,0.15000000000000002,,,,
98,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00069.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1068,Windows 10,false,0.15000000000000002,,,,
99,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00070.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1069,Windows Server 2008,false,0.15000000000000002,,,,
100,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00071.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1070,Windows Server 2008,false,0.15000000000000002,,,,
101,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00072.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1071,Windows Server 2008,false,0.15000000000000002,,,,
102,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00073.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1072,Windows Server 2012,false,0.15000000000000002,,,,
103,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00074.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1073,Windows Server 2008,false,0.15000000000000002,,,,
104,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00075.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1074,Windows Server 2008,false,0.15000000000000002,,,,
105,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00076.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1075,Windows 7,false,0.15000000000000002,,,,
106,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00077.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1076,Windows Server 2008,false,0.15000000000000002,,,,
107,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00078.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1077,Windows Server 2003,false,0.15000000000000002,,,,
108,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00079.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1078,Windows 7,false,0.15000000000000002,,,,
109,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00080.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1079,Windows 7,false,0.15000000000000002,,,,
110,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00081.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1080,Windows Server 2008,false,0.15000000000000002,,,,
111,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00082.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1081,Windows 7,false,0.15000000000000002,,,,
112,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00083.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1082,Windows 7,false,0.15000000000000002,,,,
113,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00084.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1083,Windows 7,false,0.27750000506639483,,,,
114,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00085.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1084,Windows 7,false,0.15000000000000002,,,,
115,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00086.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1085,Windows 7,false,0.15000000000000002,,,,
116,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00087.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1086,Windows 10,false,0.15000000000000002,,,,
117,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00088.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1087,Windows Server 2008,false,0.15000000000000002,,,,
118,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00089.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1088,Windows 10,false,0.27750000506639483,,,,
119,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00090.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1089,Windows 7,false,0.15000000000000002,,,,
120,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00091.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1090,Windows Server 2008,false,0.15000000000000002,,,,
121,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00092.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1091,Windows Server 2008,false,0.15000000000000002,,,,
122,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00093.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1092,Windows 10,false,0.15000000000000002,,,,
123,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00094.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1093,Windows Server 2008,false,0.15000000000000002,,,,
124,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00095.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1094,Windows XP,false,0.15000000000000002,,,,
125,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00096.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1095,Windows Server 2008,false,0.15000000000000002,,,,
126,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00097.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1096,Windows 10,false,0.15000000000000002,,,,
127,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00098.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1097,Windows 7,false,0.15000000000000002,,,,
128,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00099.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1098,Windows 7,false,0.15000000000000002,,,,
129,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00100.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1099,Windows 7,false,0.15000000000000002,,,,
130,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00101.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1100,Windows Server 2008,false,0.15000000000000002,,,,
131,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00102.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1101,Windows 10,false,0.15000000000000002,,,,
132,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00103.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1102,Windows Server 2008,false,0.21375000253319743,,,,
133,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00104.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1103,Windows 10,false,0.15000000000000002,,,,
134,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00105.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1104,Windows 10,false,0.15000000000000002,,,,
135,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00106.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1105,Windows 10,false,0.15000000000000002,,,,
136,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00107.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1106,Windows Server 2012,false,0.15000000000000002,,,,
137,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00108.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1107,Windows 7,false,0.15000000000000002,,,,
138,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00109.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1108,Windows Server 2008,false,0.21375000253319743,,,,
139,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00110.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1109,Windows 10,false,0.15000000000000002,,,,
140,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00111.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1110,Windows 10,false,0.15000000000000002,,,,
141,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00112.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1111,Windows 10,false,0.15000000000000002,,,,
142,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00113.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1112,Windows 7,false,0.15000000000000002,,,,
143,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00114.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1113,Windows 7,false,0.40500001013278963,,,,
144,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00115.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1114,Windows 10,false,0.15000000000000002,,,,
145,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00116.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1115,Windows Server 2008,false,0.15000000000000002,,,,
146,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00117.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1116,Windows 7,false,0.15000000000000002,,,,
147,:Computer,,,TESTLAB.LOCAL,,true,,,,,COMP00118.TESTLAB.LOCAL,S-1-5-21-883232822-274137685-4173207997-1117,Windows 7,false,0.15000000000000002,,,,
